data,name,I,E,R,Days
2021/1/21,上海市,107,98,1517,386
2021/1/22,上海市,117,100,1518,387
2021/1/23,上海市,118,104,1523,388
2021/1/24,上海市,112,88,1532,389
2021/1/25,上海市,121,93,1533,390
2021/1/26,上海市,113,94,1547,391
2021/1/27,上海市,117,100,1550,392
2021/1/28,上海市,121,94,1555,393
2021/1/29,上海市,128,93,1559,394
2021/1/30,上海市,132,98,1562,395
2021/1/31,上海市,132,92,1566,396
2021/2/1,上海市,137,100,1568,397
2021/2/2,上海市,137,114,1572,398
2021/2/3,上海市,132,109,1582,399
2021/2/4,上海市,134,110,1590,400
2021/2/5,上海市,137,105,1592,401
2021/2/6,上海市,135,103,1597,402
2021/2/7,上海市,132,120,1607,403
2021/2/8,上海市,126,110,1615,404
2021/2/9,上海市,128,121,1619,405
2021/2/10,上海市,121,144,1626,406
2021/2/11,上海市,121,144,1633,407
2021/2/12,上海市,118,130,1639,408
2021/2/13,上海市,116,142,1643,409
2021/2/14,上海市,110,110,1650,410
2021/2/15,上海市,103,109,1662,411
2021/2/16,上海市,95,121,1670,412
2021/2/17,上海市,93,103,1676,413
2021/2/18,上海市,94,94,1682,414
2021/2/19,上海市,92,110,1686,415
2021/2/20,上海市,92,120,1689,416
2021/2/21,上海市,79,110,1704,417
